target_id	length	eff_length	est_counts	tpm
FBtr0113192	1818	1597.51	3.77763	0.106565
FBtr0112377	715	494.567	1	0.0911205
FBtr0112440	927	706.514	113	7.20772
FBtr0300624	814	593.514	136.5	10.3644
FBtr0080638	2462	2241.51	0	0
FBtr0087456	1631	1410.51	632.671	20.2135
FBtr0339274	1851	1630.51	58.5328	1.61777
FBtr0070300	6645	6424.51	0	0
FBtr0309965	2867	2646.51	314.583	5.35675
FBtr0339272	6823	6602.51	572.738	3.9092
FBtr0339273	1891	1670.51	0	0
FBtr0305499	6954	6733.51	290.887	1.94681
FBtr0309963	2073	1852.51	81.2447	1.9764
FBtr0307895	2692	2471.51	0	0
FBtr0070299	2648	2427.51	0	0
FBtr0309961	2727	2506.51	111.422	2.00327
FBtr0100557	3451	3230.51	0	0
FBtr0305498	2839	2618.51	25.3192	0.435748
FBtr0305497	2042	1821.51	115.274	2.85193
FBtr0309962	1938	1717.51	0	0
FBtr0339835	1004	783.514	0	0
FBtr0073382	965	744.514	2	0.121059
FBtr0100446	3250	3029.51	608	9.04422
FBtr0070992	851	630.514	719	51.3895
FBtr0089855	4685	4464.51	5.03296	0.0508031
FBtr0340230	3198	2977.51	0	0
FBtr0079744	3110	2889.51	1	0.0155961
FBtr0076017	963	742.514	14.8906	0.90375
FBtr0076018	1266	1045.51	51.1094	2.20298
FBtr0301210	2682	2461.51	0	0
FBtr0300335	1337	1116.51	0	0
FBtr0071549	1655	1434.51	638	20.0427
FBtr0334875	1356	1135.51	0	0
FBtr0334874	3302	3081.51	0	0
FBtr0088523	1880	1659.51	61.9426	1.68209
FBtr0088522	1929	1708.51	171.057	4.51195
FBtr0088521	1673	1452.51	0	0
FBtr0334153	1658	1437.51	76.5663	2.40031
FBtr0082484	1450	1229.51	48.0199	1.76006
FBtr0333243	375	162.147	0	0
FBtr0080103	2737	2516.51	0	0
FBtr0100142	7170	6949.51	1053.16	6.82937
FBtr0332497	7565	7344.51	3667.94	22.5061
FBtr0074073	6589	6368.51	4517.92	31.9699
FBtr0340082	4657	4436.51	614.642	6.24339
FBtr0340081	4889	4668.51	71.3153	0.688406
FBtr0070120	4901	4680.51	565.043	5.44037
FBtr0100039	3446	3225.51	133.336	1.8629
FBtr0306622	3272	3051.51	157.128	2.32048
FBtr0306619	3533	3312.51	732.654	9.9674
FBtr0306624	2735	2514.51	0	0
FBtr0100043	3233	3012.51	69.6949	1.04259
FBtr0307191	2707	2486.51	59.8802	1.08526
FBtr0306623	3138	2917.51	94.4995	1.45968
FBtr0100040	2696	2475.51	0	0
FBtr0100042	2373	2152.51	164.053	3.43463
FBtr0100041	2448	2227.51	41.1304	0.832115
FBtr0100044	3099	2878.51	39.9868	0.626021
FBtr0306620	3530	3309.51	379.637	5.16946
FBtr0304639	564	343.983	0	0
FBtr0300304	578	357.878	0	0
FBtr0072275	3812	3591.51	0	0
FBtr0070417	1247	1026.51	168.532	7.39875
FBtr0342768	1113	892.514	54.4678	2.75021
FBtr0077989	4489	4268.51	711.36	7.51024
FBtr0332273	4718	4497.51	19.6398	0.196791
FBtr0113184	2564	2343.51	13.1773	0.253395
FBtr0332769	2518	2297.51	35.5242	0.696799
FBtr0078459	2803	2582.51	42.1981	0.736361
FBtr0078458	2728	2507.51	606.1	10.8929
FBtr0310156	2023	1802.51	0	0
FBtr0332631	1364	1143.51	1642.59	64.7332
FBtr0332632	5997	5776.51	142.682	1.11312
FBtr0332630	1663	1442.51	170.512	5.32691
FBtr0332536	1528	1307.51	0.982147	0.033851
FBtr0081601	1532	1311.51	0.0178525	0.000613434
FBtr0332537	1469	1248.51	0	0
FBtr0071766	1313	1092.51	0	0
FBtr0085529	1659	1438.51	10.5729	0.331223
FBtr0085530	1668	1447.51	19.9579	0.621345
FBtr0339144	2374	2153.51	181.892	3.80633
FBtr0085528	2350	2129.51	128.577	2.72098
FBtr0091748	588	367.77	693.245	84.9477
FBtr0091747	1336	1115.51	22.3776	0.904021
FBtr0073060	360	148.841	35	10.5971
FBtr0083773	965	744.514	0	0
FBtr0335407	1018	797.514	0	0
FBtr0085411	1087	866.514	21	1.09215
FBtr0086156	1219	998.514	6536.98	295.028
FBtr0071943	5067	4846.51	48.5887	0.451801
FBtr0071942	5535	5314.51	12.4903	0.105913
FBtr0304795	5866	5645.51	22.921	0.182966
FBtr0084186	1091	870.514	7829.7	405.331
FBtr0082952	1006	785.514	0	0
FBtr0079355	1834	1613.51	276.531	7.72344
FBtr0331375	2948	2727.51	428.469	7.07935
FBtr0333152	745	524.514	0	0
FBtr0112510	1761	1540.51	3	0.0877599
FBtr0346513	1115	894.514	0	0
FBtr0083654	1552	1331.51	6	0.20307
FBtr0071192	3171	2950.51	0	0
FBtr0340159	4521	4300.51	4771	49.9954
FBtr0078842	1853	1632.51	837	23.1052
FBtr0078023	871	650.514	0	0
FBtr0087599	477	258.381	1	0.174414
FBtr0332205	6837	6616.51	0	0
FBtr0332204	6999	6778.51	0	0
FBtr0332202	7008	6787.51	0	0
FBtr0332203	6843	6622.51	7	0.0476339
FBtr0307888	4545	4324.51	8.73433e-07	9.10192e-09
FBtr0307887	4497	4276.51	2	0.0210756
FBtr0344210	2342	2121.51	0	0
FBtr0347504	5328	5107.51	0	0
FBtr0084047	1934	1713.51	537	14.123
FBtr0089941	1386	1165.51	0	0
FBtr0089942	1600	1379.51	78	2.54806
FBtr0299518	705	484.567	4	0.372004
FBtr0080488	5882	5661.51	364	2.89741
FBtr0339112	1764	1543.51	288.984	8.43732
FBtr0299956	1350	1129.51	0	0
FBtr0084561	243	62.5803	0	0
FBtr0077038	904	683.514	39	2.57133
FBtr0072302	3291	3070.51	136	1.99604
FBtr0336983	984	763.514	0	0
FBtr0303023	987	766.514	0	0
FBtr0070341	2941	2720.51	0	0
FBtr0303043	3782	3561.51	396.416	5.016
FBtr0310288	2937	2716.51	0	0
FBtr0303044	2939	2718.51	0	0
FBtr0303045	3780	3559.51	597.724	7.56747
FBtr0310289	3014	2793.51	93.8602	1.51416
FBtr0071978	422	205.325	0	0
FBtr0075722	626	405.694	9	0.999735
FBtr0301211	4343	4122.51	419.293	4.58349
FBtr0301212	3770	3549.51	1296.02	16.4545
FBtr0334664	3796	3575.51	3095.9	39.0202
FBtr0084112	3543	3322.51	0	0
FBtr0334663	3652	3431.51	175.785	2.30853
FBtr0085746	3506	3285.51	6.58974	0.0903869
FBtr0334508	4486	4265.51	17.4103	0.183939
FBtr0085461	736	515.567	39	3.40895
FBtr0071830	1710	1489.51	4	0.12102
FBtr0073205	1975	1754.51	2.2667	0.0582208
FBtr0273268	1341	1120.51	130	5.22837
FBtr0340547	1517	1296.51	0	0
FBtr0089584	2123	1902.51	1	0.0236871
FBtr0091810	529	309.208	0.222222	0.0323875
FBtr0112902	2102	1881.51	250.37	5.99675
FBtr0112901	1614	1393.51	0	0
FBtr0088438	4108	3887.51	4204.54	48.7402
FBtr0088437	2157	1936.51	339.087	7.89098
FBtr0073936	1210	989.514	0	0
FBtr0304708	637	416.653	37.0474	4.00705
FBtr0304707	601	380.732	46.6336	5.51975
FBtr0082354	844	623.514	87.319	6.31107
FBtr0301578	2595	2374.51	107.319	2.03678
FBtr0301577	4306	4085.51	214.575	2.36687
FBtr0081008	2835	2614.51	213.788	3.68497
FBtr0081009	2483	2262.51	4.6178e-08	9.19781e-10
FBtr0080928	2123	1902.51	3	0.0710614
FBtr0076064	5535	5314.51	0	0
FBtr0113050	575	354.878	1046.81	132.932
FBtr0088830	692	471.567	188.19	17.9843
FBtr0086729	468	249.558	3	0.541739
FBtr0081546	1749	1528.51	759	22.3776
FBtr0309843	1811	1590.51	452.701	12.8267
FBtr0088849	1840	1619.51	13925.9	387.507
FBtr0304751	2292	2071.51	651.841	14.1806
FBtr0070727	1200	979.514	0	0
FBtr0113380	4060	3839.51	3801.51	44.6191
FBtr0113379	4109	3888.51	838.389	9.71634
FBtr0113381	1199	978.514	0	0
FBtr0087112	5876	5655.51	1591.1	12.6784
FBtr0087113	4051	3830.51	0	0
FBtr0075132	2074	1853.51	0	0
FBtr0088566	3492	3271.51	115	1.58413
FBtr0330624	3492	3271.51	115	1.58413
FBtr0078820	991	770.514	279	16.3179
FBtr0310412	1094	873.514	5	0.257953
FBtr0346147	1595	1374.51	0	0
FBtr0085700	1036	815.514	0	0
FBtr0087249	1148	927.514	263	12.7784
FBtr0086469	384	170.121	0	0
FBtr0079733	4026	3805.51	0.5	0.00592103
FBtr0330210	4026	3805.51	0.5	0.00592103
FBtr0079310	2022	1801.51	0	0
FBtr0079308	2031	1810.51	28	0.696942
FBtr0079309	2781	2560.51	0	0
FBtr0332331	2587	2366.51	0	0
FBtr0301486	894	673.514	62.5458	4.18496
FBtr0084257	657	436.611	649.454	67.0339
FBtr0073601	4054	3833.51	729	8.56981
FBtr0083682	1921	1700.51	208	5.51218
FBtr0078831	1319	1098.51	0	0
FBtr0273369	661	440.611	131	13.3985
FBtr0075364	687	466.567	59.1132	5.70968
FBtr0100244	862	641.514	93.8868	6.59536
FBtr0336825	1062	841.514	42.7924	2.29164
FBtr0081391	1262	1041.51	5.20757	0.225326
FBtr0070170	2155	1934.51	54.333	1.2657
FBtr0073913	4958	4737.51	0	0
FBtr0343518	4837	4616.51	0	0
FBtr0336685	741	520.567	75.0958	6.501
FBtr0072100	738	517.567	119.904	10.4402
FBtr0301237	1763	1542.51	46	1.34391
FBtr0445311	3147	2926.51	86.1149	1.32608
FBtr0084533	3601	3380.51	215.587	2.87396
FBtr0445310	2810	2589.51	0	0
FBtr0084534	2791	2570.51	0	0
FBtr0346099	3743	3522.51	238.771	3.0547
FBtr0321260	3147	2926.51	86.1149	1.32608
FBtr0080059	2577	2356.51	98	1.87412
FBtr0077519	2885	2664.51	832	14.0717
FBtr0078127	2417	2196.51	3	0.06155
FBtr0306912	1526	1305.51	0	0
FBtr0075046	2419	2198.51	47	0.963406
FBtr0300775	863	642.514	2474	173.523
FBtr0071627	821	600.514	9	0.675398
FBtr0086561	1273	1052.51	0	0
FBtr0084287	1055	834.514	0	0
FBtr0343769	1903	1682.51	0	0
FBtr0080933	1487	1266.51	1	0.035582
FBtr0343051	3129	2908.51	355.685	5.51106
FBtr0070858	2901	2680.51	88.3146	1.48476
FBtr0077471	795	574.514	17	1.33349
FBtr0072351	908	687.514	0	0
FBtr0081853	2146	1925.51	393	9.19785
FBtr0077901	534	314.115	0	0
FBtr0344005	1374	1153.51	0	0
FBtr0085873	1231	1010.51	1	0.0445962
FBtr0346708	3919	3698.51	0	0
FBtr0079663	4492	4271.51	2860	30.1734
FBtr0343522	7954	7733.51	70.579	0.411282
FBtr0303047	7579	7358.51	0	0
FBtr0070326	7368	7147.51	116.562	0.734922
FBtr0307290	9407	9186.51	1991.56	9.76976
FBtr0303046	7521	7300.51	0	0
FBtr0307289	7498	7277.51	0	0
FBtr0084312	7313	7092.51	775.611	4.92815
FBtr0113271	6695	6474.51	106.297	0.739865
FBtr0310038	6369	6148.51	350.62	2.56984
FBtr0310037	7163	6942.51	207.199	1.34496
FBtr0344297	6474	6253.51	1405.91	10.1315
FBtr0113270	6507	6286.51	2682.24	19.2277
FBtr0084433	2827	2606.51	0	0
FBtr0332427	3278	3057.51	5	0.0736957
FBtr0074807	7217	6996.51	6.18739e-05	3.98535e-07
FBtr0307537	8011	7790.51	0	0
FBtr0074808	7562	7341.51	0	0
FBtr0345014	7157	6936.51	4.99994	0.0324836
FBtr0344733	5919	5698.51	0	0
FBtr0290227	3430	3209.51	150.954	2.11956
FBtr0307491	3133	2912.51	756.015	11.6978
FBtr0085483	1130	909.514	688	34.0894
FBtr0082266	3044	2823.51	0	0
FBtr0305662	3118	2897.51	0	0
FBtr0082265	3098	2877.51	1001.44	15.6837
FBtr0082264	3273	3052.51	0	0
FBtr0100144	3160	2939.51	275.363	4.22153
FBtr0332249	2849	2628.51	2108	36.1411
FBtr0346814	1982	1761.51	58.9534	1.50822
FBtr0089490	1876	1655.51	444.706	12.1055
FBtr0300291	1172	951.514	0	0
FBtr0472540	1192	971.514	31.133	1.44415
FBtr0308349	1935	1714.51	30.5768	0.803694
FBtr0089492	2579	2358.51	26.3627	0.503722
FBtr0472541	1278	1057.51	2.06355e-06	8.79367e-08
FBtr0089491	2039	1818.51	208.989	5.17901
FBtr0300290	1781	1560.51	68.0504	1.96519
FBtr0301773	1928	1707.51	58.2285	1.53678
FBtr0085667	1627	1406.51	3	0.0961209
FBtr0088127	1381	1160.51	4	0.155328
FBtr0079128	1604	1383.51	1113.92	36.2837
FBtr0083415	1126	905.514	0	0
FBtr0335284	1294	1073.51	0	0
FBtr0071168	2277	2056.51	4768.31	104.49
FBtr0071167	2003	1782.51	26517.4	670.406
FBtr0071169	2108	1887.51	173.127	4.13348
FBtr0336486	1177	956.514	167	7.86802
FBtr0082061	1156	935.514	275	13.2472
FBtr0113418	3508	3287.51	3.75754	0.0515083
FBtr0305094	3244	3023.51	0	0
FBtr0305095	6610	6389.51	3.1575	0.0222698
FBtr0305097	3944	3723.51	0	0
FBtr0305096	6097	5876.51	25.0137	0.191822
FBtr0332985	5584	5363.51	32.5304	0.273326
FBtr0473371	2966	2745.51	6.54086	0.107362
FBtr0113419	3413	3192.51	0	0
FBtr0305093	6692	6471.51	0	0
FBtr0085897	5055	4834.51	5	0.0466077
FBtr0100324	2126	1905.51	1	0.0236499
FBtr0084151	836	615.514	2657.83	194.594
FBtr0301810	1290	1069.51	1291.68	54.4263
FBtr0110959	5495	5274.51	0	0
FBtr0085902	3610	3389.51	0	0
FBtr0085901	5565	5344.51	0	0
FBtr0339132	5351	5130.51	13	0.114189
FBtr0339131	5180	4959.51	0	0
FBtr0307497	5688	5467.51	0	0
FBtr0301000	5477	5256.51	0	0
FBtr0346088	3339	3118.51	0	0
FBtr0073942	3245	3024.51	34.4828	0.513792
FBtr0308337	3249	3028.51	67.5172	1.00468
FBtr0085752	1112	891.514	2	0.101098
FBtr0070659	415	198.714	0	0
FBtr0290245	3860	3639.51	0	0
FBtr0080189	3769	3548.51	0	0
FBtr0290246	3668	3447.51	6	0.0784307
FBtr0079832	705	484.567	0	0
FBtr0081276	1297	1076.51	650.722	27.2406
FBtr0339679	3331	3110.51	0	0
FBtr0071357	3310	3089.51	0	0
FBtr0339680	2984	2763.51	9.62766	0.157
FBtr0339436	2619	2398.51	0	0
FBtr0339435	2588	2367.51	0	0
FBtr0301703	3096	2875.51	0	0
FBtr0074812	2521	2300.51	8	0.156713
FBtr0085263	1228	1007.51	0	0
FBtr0079315	1808	1587.51	0	0
FBtr0080016	592	371.77	21078	2555.03
FBtr0071562	3887	3666.51	102.89	1.26462
FBtr0300257	713	492.567	0	0
FBtr0082215	1244	1023.51	35.9021	1.58076
FBtr0306611	1241	1020.51	16.0979	0.710872
FBtr0332251	678	457.567	0	0
FBtr0330671	3707	3486.51	0	0
FBtr0301066	3563	3342.51	0	0
FBtr0334774	3873	3652.51	3.34426e-08	4.12619e-10
FBtr0334773	3815	3594.51	44.1512	0.553533
FBtr0301067	3621	3400.51	0	0
FBtr0330672	3746	3525.51	19.3204	0.246965
FBtr0301068	3764	3543.51	62.5283	0.795213
FBtr0079586	1368	1147.51	212	8.32566
FBtr0085260	1053	832.514	0	0
FBtr0081077	1658	1437.51	532	16.6779
FBtr0089979	4514	4293.51	1235.2	12.9648
FBtr0339548	4397	4176.51	364.443	3.93238
FBtr0339549	5149	4928.51	70.3559	0.643318
FBtr0079865	2976	2755.51	405	6.62358
FBtr0112644	2175	1954.51	4.11159	0.0948008
FBtr0112645	3484	3263.51	2.88841	0.0398854
FBtr0433522	3725	3504.51	0	0
FBtr0343754	3432	3211.51	78.1831	1.09709
FBtr0308059	208	44.895	0	0
FBtr0112466	441	223.457	0	0
FBtr0304668	1666	1445.51	7.09647	0.221238
FBtr0084919	765	544.514	0	0
FBtr0346108	970	749.514	0	0
FBtr0073035	5190	4969.51	464.968	4.21648
FBtr0332099	5085	4864.51	92.5554	0.857439
FBtr0332097	5187	4966.51	183.281	1.66305
FBtr0332098	5150	4929.51	0	0
FBtr0073036	5147	4926.51	0	0
FBtr0080180	1183	962.514	0	0
FBtr0301805	1105	884.514	228.483	11.641
FBtr0309871	1493	1272.51	29.5171	1.04533
FBtr0071284	1210	989.514	0	0
FBtr0080330	2586	2365.51	302	5.75337
FBtr0392905	600	379.732	14.4367	1.7133
FBtr0301007	595	374.732	97.9735	11.7822
FBtr0070866	2619	2398.51	28.2875	0.531488
FBtr0343294	3751	3530.51	2.71248	0.0346234
FBtr0071051	2047	1826.51	31	0.764855
FBtr0306350	2503	2282.51	727.418	14.3619
FBtr0330046	2653	2432.51	546.366	10.1221
FBtr0301478	2790	2569.51	0	0
FBtr0306351	2221	2000.51	3067.96	69.1113
FBtr0089521	2653	2432.51	546.366	10.1221
FBtr0301477	4782	4561.51	188.889	1.86611
FBtr0078000	2203	1982.51	0	0
FBtr0075912	3019	2798.51	0	0
FBtr0075911	3892	3671.51	5	0.0613713
FBtr0330077	3892	3671.51	5	0.0613713
FBtr0310613	4224	4003.51	0	0
FBtr0335031	4051	3830.51	0	0
FBtr0335032	4200	3979.51	0	0
FBtr0335030	4182	3961.51	0	0
FBtr0335033	4030	3809.51	0	0
FBtr0335028	3938	3717.51	0	0
FBtr0335029	4093	3872.51	0	0
FBtr0300769	3980	3759.51	0	0
FBtr0082318	721	500.567	35653	3209.78
FBtr0080551	867	646.514	2018	140.664
FBtr0074990	987	766.514	114.346	6.72266
FBtr0074989	656	435.611	367.436	38.0123
FBtr0072601	1415	1194.51	120.415	4.54286
FBtr0331769	1167	946.514	59.5852	2.83695
FBtr0082406	946	725.514	608	37.7658
FBtr0075678	1053	832.514	0	0
FBtr0301239	890	669.514	0	0
FBtr0075677	1125	904.514	50	2.49112
FBtr0345664	2937	2716.51	29.5917	0.490906
FBtr0071688	2019	1798.51	152.408	3.81888
FBtr0336877	1102	881.514	9.96872	0.509625
FBtr0083016	1028	807.514	21510.7	1200.45
FBtr0336878	1297	1076.51	0	0
FBtr0083017	1219	998.514	2049.31	92.4897
FBtr0076698	1733	1512.51	0	0
FBtr0347012	2028	1807.51	64.5541	1.60947
FBtr0088061	964	743.514	1367.45	82.8822
FBtr0332210	5788	5567.51	3	0.0242829
FBtr0346702	3852	3631.51	0	0
FBtr0290033	2119	1898.51	15	0.356056
FBtr0070038	3000	2779.51	1953.26	31.6688
FBtr0339894	3487	3266.51	121.744	1.67959
FBtr0083116	583	362.806	81	10.0612
FBtr0077957	2536	2315.51	1	0.0194623
FBtr0332271	2707	2486.51	0	0
FBtr0076588	525	305.27	17302	2554.19
FBtr0289976	1603	1382.51	22.8523	0.744906
FBtr0086667	218	49.6229	2	1.8163
FBtr0073898	6274	6053.51	24	0.178667
FBtr0073897	6351	6130.51	1.5073e-06	1.10801e-08
FBtr0073092	954	733.514	0	0
FBtr0308063	935	714.514	0	0
FBtr0088587	1925	1704.51	38246.8	1011.2
FBtr0088588	1894	1673.51	2906.19	78.2592
FBtr0071836	765	544.514	2	0.165524
FBtr0084828	1301	1080.51	3442	143.556
FBtr0071344	1513	1292.51	1620	56.4833
FBtr0079478	2069	1848.51	0	0
FBtr0079479	1860	1639.51	0	0
FBtr0081177	1708	1487.51	711	21.5402
FBtr0073448	5830	5609.51	1888	15.1676
FBtr0083533	609	388.694	0	0
FBtr0346730	654	433.611	0	0
FBtr0346512	1115	894.514	0	0
FBtr0087767	1761	1540.51	3	0.0877599
FBtr0075582	403	187.517	0	0
FBtr0331156	4583	4362.51	2.5	0.0258252
FBtr0343982	4396	4175.51	0	0
FBtr0331157	4583	4362.51	2.5	0.0258252
FBtr0332994	6340	6119.51	0	0
FBtr0076299	2953	2732.51	0	0
FBtr0083746	1976	1755.51	399	10.2426
FBtr0332165	1968	1747.51	0	0
FBtr0083730	1820	1599.51	996	28.0616
FBtr0070378	4560	4339.51	775.466	8.05309
FBtr0070380	4106	3885.51	214.783	2.4911
FBtr0070379	7664	7443.51	95.4707	0.578007
FBtr0333260	7119	6898.51	3.28023	0.0214284
FBtr0087359	2273	2052.51	0	0
FBtr0345392	2563	2342.51	11	0.211617
FBtr0340003	2324	2103.51	0	0
FBtr0070480	2283	2062.51	2661	58.1418
FBtr0114456	2089	1868.51	0	0
FBtr0085387	5031	4810.51	8803.16	82.4684
FBtr0085386	4880	4659.51	21593.8	208.848
FBtr0302996	451	233.089	601	116.197
FBtr0070494	1667	1446.51	974.664	30.365
FBtr0332496	1083	862.514	528.336	27.6048
FBtr0307192	3061	2840.51	0	0
FBtr0074719	2983	2762.51	72.1808	1.17749
FBtr0074717	3376	3155.51	269.252	3.84529
FBtr0074718	2980	2759.51	78.2279	1.27753
FBtr0307194	3383	3162.51	14.8052	0.210971
FBtr0339439	3031	2810.51	186.785	2.995
FBtr0074713	2912	2691.51	5.16502	0.08648
FBtr0074716	2928	2707.51	0	0
FBtr0074720	3193	2972.51	37.592	0.569918
FBtr0074714	2981	2760.51	189.111	3.08722
FBtr0074715	2978	2757.51	78.7994	1.28779
FBtr0307193	3197	2976.51	0	0
FBtr0339440	3373	3152.51	136.081	1.94528
FBtr0310301	4721	4500.51	0	0
FBtr0310303	4485	4264.51	0	0
FBtr0074251	5019	4798.51	15.6105	0.146606
FBtr0310302	7272	7051.51	9.3895	0.0600068
FBtr0345490	1099	878.514	0	0
FBtr0112772	639	418.653	0	0
FBtr0112747	790	569.514	0	0
FBtr0078507	998	777.514	5	0.289803
FBtr0300937	3634	3413.51	2417.37	31.914
FBtr0076940	3543	3322.51	333.12	4.51829
FBtr0333083	3420	3199.51	5283.51	74.4183
FBtr0300543	2812	2591.51	545.616	9.488
FBtr0300544	1826	1605.51	27.3837	0.768632
FBtr0081905	1831	1610.51	0	0
FBtr0346861	3300	3079.51	7.59463	0.111139
FBtr0085556	1260	1039.51	110.873	4.80657
FBtr0083609	1999	1778.51	345	8.74183
FBtr0079664	2620	2399.51	548.137	10.2945
FBtr0079665	1959	1738.51	132.756	3.44125
FBtr0340240	2230	2009.51	149.956	3.3629
FBtr0079667	3358	3137.51	0	0
FBtr0079666	1867	1646.51	0	0
FBtr0340241	3354	3133.51	2396.08	34.4596
FBtr0340239	3053	2832.51	92.539	1.47229
FBtr0302576	1571	1350.51	0	0
FBtr0342607	1249	1028.51	7	0.30671
FBtr0302029	2524	2303.51	0	0
FBtr0305265	1386	1165.51	0	0
FBtr0345366	1880	1659.51	8.70679	0.236438
FBtr0332077	927	706.514	48.6307	3.10192
FBtr0075887	452	234.042	60.6625	11.6807
FBtr0310092	441	223.457	11	2.2184
FBtr0072546	1243	1022.51	0	0
FBtr0082280	740	519.567	12	1.04083
FBtr0084304	1872	1651.51	470	12.825
FBtr0081985	908	687.514	2	0.131096
FBtr0080725	2358	2137.51	859.295	18.1165
FBtr0299614	1352	1131.51	42.4158	1.6893
FBtr0299615	4403	4182.51	671.584	7.23609
FBtr0077374	1084	863.514	278.343	14.5262
FBtr0083513	816	595.514	23	1.74051
FBtr0305007	874	653.514	0	0
FBtr0303713	537	317.115	0	0
FBtr0343810	1469	1248.51	2	0.07219
FBtr0306920	1426	1205.51	0	0
FBtr0339352	2691	2470.51	0	0
FBtr0088773	1552	1331.51	0	0
FBtr0082163	1846	1625.51	924	25.6166
FBtr0074563	744	523.514	0	0
FBtr0332711	683	462.567	0	0
FBtr0078353	710	489.567	206	18.9625
FBtr0086693	3081	2860.51	991.912	15.6268
FBtr0331958	2510	2289.51	36.0882	0.710334
FBtr0301017	3243	3022.51	0.00291723	4.34954e-05
FBtr0301016	3228	3007.51	1.99417	0.0298809
FBtr0330302	3243	3022.51	0.00291723	4.34954e-05
FBtr0079442	1321	1100.51	2171	88.9006
FBtr0073203	2704	2483.51	39	0.707683
FBtr0071774	3008	2787.51	515	8.32589
FBtr0071663	422	205.325	49.4122	10.8451
FBtr0113101	400	184.707	636.179	155.216
FBtr0113102	520	300.331	24.6917	3.70504
FBtr0300680	405	189.345	1627.4	387.331
FBtr0300679	525	305.27	189.315	27.9474
FBtr0110909	2092	1871.51	220.48	5.30904
FBtr0085437	2615	2394.51	1161.6	21.8614
FBtr0334873	2620	2399.51	134.852	2.53265
FBtr0085438	2623	2402.51	5156.07	96.715
FBtr0084856	1401	1180.51	0	0
FBtr0110823	1098	877.514	254.561	13.0731
FBtr0083993	1550	1329.51	248.439	8.42107
FBtr0302528	864	643.514	0	0
FBtr0086864	3503	3282.51	255	3.50086
FBtr0082820	2164	1943.51	0	0
FBtr0080482	656	435.611	0	0
FBtr0075192	1814	1593.51	6.31523e-07	1.78597e-08
FBtr0110847	1794	1573.51	9.93262	0.284468
FBtr0110846	1800	1579.51	0.0673754	0.00192229
FBtr0331279	411	194.973	0	0
FBtr0307203	1270	1049.51	0	0
FBtr0333272	2053	1832.51	6.41896	0.157855
FBtr0074941	2056	1835.51	343.581	8.43553
FBtr0083402	909	688.514	0	0
FBtr0329922	6098	5877.51	6	0.0460043
FBtr0100459	1649	1428.51	0	0
FBtr0339514	2010	1789.51	7.80267	0.196494
FBtr0080884	2234	2013.51	560.402	12.5425
FBtr0080885	2344	2123.51	8.68377	0.184287
FBtr0080886	2563	2342.51	0	0
FBtr0079351	1120	899.514	1050.93	52.6509
